template,action,template_skeleton,prompt_preview,target_preview,variant_note,source_prompt_preview,source_target_preview
ground_taxi_to_gate,taxi,"(ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> FFT7712, <TXWY> Kilo, Hotel, <GATE> B2 [Pilot]: Greensboro Ground, <F#> FFT7712, clear of active, request taxi to Gate <GATE> B2.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, FFT7712, clear of active, request taxi to Gate B2. Structured context: - callsign: FFT7712 - runway: 23L -","TEMPLATE_ID: ground_taxi_to_gate TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> FFT7712, <TXWY> Kilo, Hotel, <GATE> B2 [Pilot]: Greensboro Ground, <F#> FFT7712,",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#>","[ATC]: FFT7712, taxi to Gate B2 via Kilo, Hotel."
tower_cleared_to_land,cleared to land,"(ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> ASA283, <WIND> 320 at 7, <RWY> 14, <DIST> 15mi [Pilot]: Greensboro Tower, <F#> ASA283, <DIST> 15 miles out.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Tower, ASA283, 15 miles out. Structured context: - callsign: ASA283 - runway: 14 - taxi_route: Golf, Delta - gate:","TEMPLATE_ID: tower_cleared_to_land TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> ASA283, <WIND> 320 at 7, <RWY> 14, <DIST> 15mi [Pilot]: Gr",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to l","[ATC]: ASA283, wind 320 at 7, Runway 14 cleared to land."
ground_taxi_to_gate,taxi,"(ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> FFT2822, <TXWY> Echo, Charlie, <GATE> A5 [Pilot]: Greensboro Ground, <F#> FFT2822, clear of active, request taxi to Gate <GATE> A5.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, FFT2822, clear of active, request taxi to Gate A5. Structured context: - callsign: FFT2822 - runway: 05R -","TEMPLATE_ID: ground_taxi_to_gate TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> FFT2822, <TXWY> Echo, Charlie, <GATE> A5 [Pilot]: Greensboro Ground, <F#> FFT282",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#>","[ATC]: FFT2822, taxi to Gate A5 via Echo, Charlie."
tower_cleared_to_land,cleared to land,"(ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> JBU6360, <WIND> 300 at 13, <RWY> 23R, <DIST> 15mi [Pilot]: Greensboro Tower, <F#> JBU6360, <DIST> 15 miles out.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Tower, JBU6360, 15 miles out. Structured context: - callsign: JBU6360 - runway: 23R - taxi_route: Delta, Bravo, Fo","TEMPLATE_ID: tower_cleared_to_land TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> JBU6360, <WIND> 300 at 13, <RWY> 23R, <DIST> 15mi [Pilot]:",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to l","[ATC]: JBU6360, wind 300 at 13, Runway 23R cleared to land."
ground_taxi_hold_short,hold short,"(ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> AAL5331, <GATE> B2, <RWY> 23R, <TXWY> Alpha, Hotel, Golf, <HSRWY> 14 [Pilot]: Greensboro Ground, <F#> AAL5331, at Gate <GATE> B2, request taxi to Runway <RWY> 23R.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, AAL5331, at Gate B2, request taxi to Runway 23R. Structured context: - callsign: AAL5331 - runway: 23R - t","TEMPLATE_ID: ground_taxi_hold_short TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> AAL5331, <GATE> B2, <RWY> 23R, <TXW",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [","[ATC]: AAL5331, taxi to Runway 23R via Alpha, Hotel, Golf, hold short of Runway 14."
approach_descend_expect_ils,descend,"(ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> UAL1393, <ALT> 4000ft, <RWY> 05L, <DIST> 3.5NM [Pilot]: Greensboro Approach, <F#> UAL1393, level 10000 feet, inbound for landing.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Approach, UAL1393, level 10000 feet, inbound for landing. Structured context: - callsign: UAL1393 - runway: 05L - ","TEMPLATE_ID: approach_descend_expect_ils TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> UAL1393, <ALT> 4000ft, <RWY> 05L",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain","[ATC]: UAL1393, radar contact, descend and maintain 4000, expect ILS Runway 05L."
ground_taxi_to_gate,taxi,"(ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> N5966L, <TXWY> Lima, Kilo, <GATE> B2 [Pilot]: Greensboro Ground, <F#> N5966L, clear of active, request taxi to Gate <GATE> B2.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, N5966L, clear of active, request taxi to Gate B2. Structured context: - callsign: N5966L - runway: 14 - ta","TEMPLATE_ID: ground_taxi_to_gate TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> N5966L, <TXWY> Lima, Kilo, <GATE> B2 [Pilot]: Greensboro Ground, <F#> N5966L, cl",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#>","[ATC]: N5966L, taxi to Gate B2 via Lima, Kilo."
approach_descend_expect_ils,descend,"(ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> JBU1432, <ALT> 3000ft, <RWY> 23L, <DIST> 18.9NM [Pilot]: Greensboro Approach, <F#> JBU1432, level 8000 feet, inbound for landing.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Approach, JBU1432, level 8000 feet, inbound for landing. Structured context: - callsign: JBU1432 - runway: 23L - t","TEMPLATE_ID: approach_descend_expect_ils TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> JBU1432, <ALT> 3000ft, <RWY> 23L",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain","[ATC]: JBU1432, radar contact, descend and maintain 3000, expect ILS Runway 23L."
tower_cleared_to_land,cleared to land,"(ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> ASA8303, <WIND> 200 at 10, <RWY> 14, <DIST> 15mi [Pilot]: Greensboro Tower, <F#> ASA8303, <DIST> 15 miles out.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Tower, ASA8303, 15 miles out. Structured context: - callsign: ASA8303 - runway: 14 - taxi_route: Echo, Alpha, Delt","TEMPLATE_ID: tower_cleared_to_land TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> ASA8303, <WIND> 200 at 10, <RWY> 14, <DIST> 15mi [Pilot]: ",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to l","[ATC]: ASA8303, wind 200 at 10, Runway 14 cleared to land."
tower_cleared_to_land,cleared to land,"(ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> SWA1506, <WIND> 200 at 11, <RWY> 23L, <DIST> 10mi [Pilot]: Greensboro Tower, <F#> SWA1506, <DIST> 10 miles out.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Tower, SWA1506, 10 miles out. Structured context: - callsign: SWA1506 - runway: 23L - taxi_route: Juliet, Golf - g","TEMPLATE_ID: tower_cleared_to_land TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> SWA1506, <WIND> 200 at 11, <RWY> 23L, <DIST> 10mi [Pilot]:",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to l","[ATC]: SWA1506, wind 200 at 11, Runway 23L cleared to land."
approach_descend_expect_ils,descend,"(ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> UAL1767, <ALT> 6000ft, <RWY> 05R, <DIST> 13.4NM [Pilot]: Greensboro Approach, <F#> UAL1767, level 8000 feet, inbound for landing.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Approach, UAL1767, level 8000 feet, inbound for landing. Structured context: - callsign: UAL1767 - runway: 05R - t","TEMPLATE_ID: approach_descend_expect_ils TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> UAL1767, <ALT> 6000ft, <RWY> 05R",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain","[ATC]: UAL1767, radar contact, descend and maintain 6000, expect ILS Runway 05R."
tower_cleared_to_land,cleared to land,"(ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> ASA6241, <WIND> 330 at 16, <RWY> 32, <DIST> 15mi [Pilot]: Greensboro Tower, <F#> ASA6241, <DIST> 15 miles out.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Tower, ASA6241, 15 miles out. Structured context: - callsign: ASA6241 - runway: 32 - taxi_route: Golf, Hotel - gat","TEMPLATE_ID: tower_cleared_to_land TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> ASA6241, <WIND> 330 at 16, <RWY> 32, <DIST> 15mi [Pilot]: ",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to l","[ATC]: ASA6241, wind 330 at 16, Runway 32 cleared to land."
approach_descend_expect_ils,descend,"(ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> SWA2138, <ALT> 5000ft, <RWY> 05L, <DIST> 5.4NM [Pilot]: Greensboro Approach, <F#> SWA2138, level 6000 feet, inbound for landing.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Approach, SWA2138, level 6000 feet, inbound for landing. Structured context: - callsign: SWA2138 - runway: 05L - t","TEMPLATE_ID: approach_descend_expect_ils TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> SWA2138, <ALT> 5000ft, <RWY> 05L",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain","[ATC]: SWA2138, radar contact, descend and maintain 5000, expect ILS Runway 05L."
ground_taxi_hold_short,hold short,"(ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> SWA8054, <GATE> D2, <RWY> 23L, <TXWY> Foxtrot, Charlie, <HSRWY> 32 [Pilot]: Greensboro Ground, <F#> SWA8054, at Gate <GATE> D2, request taxi to Runway <RWY> 23L.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, SWA8054, at Gate D2, request taxi to Runway 23L. Structured context: - callsign: SWA8054 - runway: 23L - t","TEMPLATE_ID: ground_taxi_hold_short TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> SWA8054, <GATE> D2, <RWY> 23L, <TXW",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [","[ATC]: SWA8054, taxi to Runway 23L via Foxtrot, Charlie, hold short of Runway 32."
